Year_Birth,Income,Kidhome,Teenhome,Recency,MntGoldProds,MntWines,MntFruits,MntFishProducts,MntSweetProducts,MntMeatProducts,NumDealsPurchases,NumWebPurchases,AcceptedCmp3,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain,D_Customer,M_Customer,Y_Customer,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,target
1989,28691,1,0,56,4,5,4,8,0,13,1,1,0,0,3,8,0,0,0,0,0,4,7,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1981,39665,1,0,97,31,127,1,0,1,56,3,4,1,2,3,7,0,0,0,0,0,25,5,2013,False,False,False,False,True,False,False,False,False,False,True,False,False,0
1975,69283,0,1,41,8,674,62,0,26,134,4,7,0,3,13,5,0,0,0,0,0,14,6,2014,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1969,33581,2,0,38,1,11,0,0,0,5,1,1,0,0,2,8,0,0,0,0,0,8,1,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1993,72354,0,0,67,182,315,26,220,12,473,1,2,0,10,6,1,0,0,0,0,0,17,4,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1979,24594,1,0,94,9,1,3,10,0,6,1,1,0,0,3,5,0,0,0,0,0,10,12,2013,False,True,False,False,False,False,False,False,False,False,True,False,False,0
1951,58217,2,1,84,13,68,1,3,5,13,1,2,0,0,4,6,0,0,0,0,0,17,11,2012,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1972,41644,1,1,67,2,20,3,2,0,4,2,1,0,0,3,3,0,0,0,0,0,9,5,2014,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1951,47352,0,1,70,15,172,12,8,0,112,4,6,0,1,5,7,0,0,0,0,0,11,4,2013,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1973,27803,1,0,40,49,8,26,38,9,46,2,3,0,0,4,8,0,0,0,0,0,26,8,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1969,68695,0,0,3,40,458,81,106,50,356,1,4,0,4,7,2,0,0,0,0,0,25,6,2014,False,False,True,False,False,False,False,False,False,False,True,False,False,0
