Year_Birth,Education,Marital_Status,,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntGoldProds,MntWines,MntFruits,MntFishProducts,MntSweetProducts,MntMeatProducts,NumDealsPurchases,NumWebPurchases,AcceptedCmp3,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain
1989,Graduation,Married,,"28,691.00",1,0,07-04-2013,56,4,5,4,8,0,13,1,1,0,0,3,8,0,0,0,0,0
1981,PhD,Together,,"39,665.00",1,0,5/25/13,97,31,127,1,0,1,56,3,4,1,2,3,7,0,0,0,0,0
1975,PhD,Married,,"69,283.00",0,1,6/14/14,41,8,674,62,0,26,134,4,7,0,3,13,5,0,0,0,0,0
1969,PhD,Married,,"33,581.00",2,0,01-08-2013,38,1,11,0,0,0,5,1,1,0,0,2,8,0,0,0,0,0
1993,Graduation,Single,,"72,354.00",0,0,4/17/13,67,182,315,26,220,12,473,1,2,0,10,6,1,0,0,0,0,0
1979,Basic,Together,,"24,594.00",1,0,12-10-2013,94,9,1,3,10,0,6,1,1,0,0,3,5,0,0,0,0,0
1951,Master,Single,,"58,217.00",2,1,11/17/12,84,13,68,1,3,5,13,1,2,0,0,4,6,0,0,0,0,0
1972,PhD,Single,,"41,644.00",1,1,05-09-2014,67,2,20,3,2,0,4,2,1,0,0,3,3,0,0,0,0,0
1951,Master,Together,,"47,352.00",0,1,04-11-2013,70,15,172,12,8,0,112,4,6,0,1,5,7,0,0,0,0,0
1973,Graduation,Married,,"27,803.00",1,0,8/26/12,40,49,8,26,38,9,46,2,3,0,0,4,8,0,0,0,0,0
1969,Graduation,Together,,"68,695.00",0,0,6/25/14,3,40,458,81,106,50,356,1,4,0,4,7,2,0,0,0,0,0
1971,PhD,Single,,"42,767.00",2,0,05-11-2013,53,38,20,6,19,5,43,1,3,0,1,2,8,0,0,0,0,0
1963,PhD,Together,,"66,313.00",0,1,9/16/13,86,7,625,7,10,22,99,2,6,0,3,12,4,0,0,0,0,0
1962,Graduation,Together,,"50,127.00",0,1,5/29/14,88,15,274,0,4,6,21,1,5,0,1,6,6,0,1,0,0,0
1983,Graduation,Married,,,1,0,11/15/13,11,1,5,5,0,2,6,1,1,0,0,2,7,0,0,0,0,0
1978,2n Cycle,Together,,,0,0,08-12-2012,53,22,32,2,12,4,1607,0,0,0,0,1,0,0,1,0,0,0
1956,Graduation,Single,,"46,998.00",0,1,10/22/12,55,27,172,41,45,6,86,5,5,1,3,5,7,0,0,0,0,0
1983,Graduation,Together,,"37,292.00",1,0,4/18/13,32,66,275,0,10,23,86,5,6,0,3,5,8,0,0,0,0,0
1969,Graduation,Together,,"38,361.00",1,0,12/27/13,74,14,39,0,20,8,56,3,3,0,1,3,7,0,0,0,0,0
1959,Graduation,Together,,"24,221.00",0,0,8/20/13,94,22,8,9,2,5,9,1,1,0,1,3,4,0,0,0,0,0
1956,Master,Together,,"34,941.00",1,1,03-06-2013,26,24,39,2,4,3,25,2,3,0,0,3,8,0,0,0,0,0
1947,2n Cycle,Married,,"81,044.00",0,0,12/27/13,0,26,450,26,73,98,535,1,5,0,6,10,1,0,0,0,0,0
1956,Graduation,Single,,"60,714.00",0,0,1/17/13,56,162,216,162,101,92,224,2,7,0,4,10,5,0,0,0,0,0
1981,PhD,Together,,"56,937.00",1,0,08-04-2012,81,8,746,8,11,8,125,7,8,0,6,9,6,0,1,0,0,0
1962,PhD,Together,,"31,497.00",0,1,12-06-2012,22,4,108,1,13,1,28,2,3,0,1,4,8,0,0,0,0,0
1985,Graduation,Married,,"19,986.00",1,0,11/14/13,74,6,3,6,0,2,5,1,0,0,0,3,7,0,0,0,0,0
1989,Graduation,Together,,"31,928.00",1,0,3/28/14,5,5,33,4,4,2,24,2,3,0,0,4,7,0,0,0,0,0
1989,Graduation,Married,,,0,0,06-03-2013,69,61,861,138,60,30,461,1,6,0,5,12,3,0,1,0,1,0
1972,Master,Single,,"46,423.00",1,1,9/18/13,6,8,68,0,0,0,16,3,2,0,0,4,7,0,0,0,0,0
